,cost,group,n_met,n_mutual,n_pw_mut,table,chat,room,session
194,2.8888888888888884,"(76, 6, 66, 36)",2.0,0.0,8.0,10,2,1,2
195,1.2777777777777777,"(33, 8, 42, 70)",1.0,0.0,7.0,11,2,1,2
196,-1.6666666666666665,"(10, 24, 42, 81)",0.0,1.0,12.0,0,3,1,2
197,-1.5,"(2, 27, 45, 65)",0.0,1.0,9.0,1,3,1,2
198,-1.166666666666667,"(1, 13, 60, 66)",1.0,2.0,15.0,2,3,1,2
199,-0.4444444444444444,"(44, 49, 55, 67)",0.0,0.0,8.0,3,3,1,2
200,-0.4444444444444444,"(34, 36, 69, 22)",0.0,0.0,8.0,4,3,1,2
201,-0.3333333333333333,"(29, 8, 40, 3)",0.0,0.0,6.0,5,3,1,2
202,-0.1111111111111111,"(59, 39, 79, 72)",0.0,0.0,2.0,6,3,1,2
203,1.4999999999999998,"(33, 30, 61, 64)",1.0,0.0,3.0,7,3,1,2
204,1.3888888888888888,"(15, 77, 73, 6)",1.0,0.0,5.0,8,3,1,2
205,-0.3333333333333333,"(63, 38, 70, 75)",0.0,0.0,6.0,9,3,1,2
206,1.3888888888888888,"(76, 11, 7, 9)",1.0,0.0,5.0,10,3,1,2
207,3.1666666666666665,"(17, 58, 78, 35)",2.0,0.0,3.0,11,3,1,2
208,-0.5555555555555556,"(11, 64, 40, 39)",0.0,0.0,10.0,0,4,1,2
209,-0.5555555555555556,"(9, 10, 49, 78)",0.0,0.0,10.0,1,4,1,2
210,-0.4444444444444444,"(17, 27, 33, 60)",0.0,0.0,8.0,2,4,1,2
211,-0.3333333333333333,"(29, 1, 15, 65)",0.0,0.0,6.0,3,4,1,2
212,-0.2777777777777778,"(76, 81, 45, 72)",0.0,0.0,5.0,4,4,1,2
213,0.16666666666666652,"(2, 8, 22, 73)",1.0,1.0,9.0,5,4,1,2
214,0.16666666666666652,"(24, 36, 38, 77)",1.0,1.0,9.0,6,4,1,2
215,1.611111111111111,"(55, 30, 61, 59)",1.0,0.0,1.0,7,4,1,2
216,4.777777777777778,"(34, 7, 44, 58)",3.0,0.0,4.0,8,4,1,2
217,1.3888888888888888,"(3, 63, 42, 6)",1.0,0.0,5.0,9,4,1,2
218,1.4444444444444442,"(69, 67, 79, 35)",1.0,0.0,4.0,10,4,1,2
219,1.7777777777777775,"(70, 66, 75, 13)",2.0,1.0,10.0,11,4,1,2
220,-0.5,"(34, 55, 75, 81)",0.0,0.0,9.0,0,5,1,2
221,-0.2777777777777778,"(61, 29, 6, 22)",0.0,0.0,5.0,1,5,1,2
222,-0.2222222222222222,"(60, 2, 58, 67)",0.0,0.0,4.0,2,5,1,2
223,0.05555555555555536,"(8, 9, 13, 27)",1.0,1.0,11.0,3,5,1,2
